shangpaishijian,licheng,biansu,zhouju,pailiang,mali,tianchuang1,tianchuang2,zhenpizuoyi,daocheyingxiang,daocheleida,GPS,zhongdashigu,waiguan_neishi,yuanjia,baojia,paifang,changshang,cheshen_type
4,4.8,0,2720,1.5,150,1,1,0,1,1,1,0,0,13.6,8.16,国五,长城汽车,紧凑型SUV
54,10.14,1,2465,1.4,86,0,0,0,0,0,0,0,0,9.9,3.2,国四,上汽大众,小型车
67,5.7,0,3047,2.5,152,1,0,1,0,1,0,0,1,26.4,5.2,国四,上汽通用别克,MPV
68,10.43,1,2610,1.6,105,0,0,0,0,0,0,0,1,12.2,3.5,国四,上汽大众,紧凑型车
57,12.2,0,2712,2,200,1,0,1,0,1,0,0,0,30.3,10.8,国四,一汽-大众,中型车
66,2.6,0,2612,1.6,106,0,0,0,1,1,1,0,1,11.5,2.7,国四,东风标致,紧凑型车
4,6.05,0,2700,1.5,117,0,0,0,1,0,0,0,1,13.7,9,国五,长安马自达,紧凑型车
13,4.37,0,2705,1.5,109,1,0,1,1,1,1,0,0,28.2,8,国五,上汽集团,紧凑型车
14,8.19,0,2660,1.6,125,0,0,0,0,0,0,0,1,9.6,4,国四,长安汽车,紧凑型车
55,6.45,0,3122,3,290,1,1,1,1,1,1,0,0,108.3,32,国四,奥迪(进口),大型车
63,5.27,0,2515,1.8,150,1,0,1,0,1,0,0,0,28.4,7.8,国四,大众(进口),紧凑型车
48,7.36,1,2745,2,140,1,0,1,1,1,1,0,1,9.6,2.3,国四,比亚迪,中型车
37,7.39,0,2640,2,165,1,0,1,0,1,0,0,0,21.3,9.12,国四,北京现代,紧凑型SUV
36,9.04,1,2520,1.5,109,0,0,0,1,0,1,0,1,8.3,2.4,国四,上汽集团,小型车
2,1.25,0,2670,2,190,0,1,1,1,1,1,0,0,15.2,9,国五,陆风汽车,紧凑型SUV
83,19.69,0,2803,2,116,0,0,0,0,0,0,1,0,19.5,4,国四,上汽大众,中型车
8,3.71,0,2933,3,306,1,1,1,1,1,1,0,0,91,52,国五,宝马(进口),中大型SUV
37,4.41,0,2850,2.5,209,1,0,1,1,1,1,0,0,57.2,25.67,国四,雷克萨斯,中大型车
63,9.93,0,2685,1.8,147,1,0,0,0,0,0,0,1,17.6,4.8,国四,上汽通用别克,紧凑型车
18,5.11,0,2755,2,184,1,1,0,0,1,0,0,1,41,24.5,国四,北京奔驰,中型SUV
